ID,last_stop,next.stop,options.stop,tick
152,(vertex 30),(vertex 150),0,1
153,(vertex 30),(vertex 150),0,1
154,(vertex 30),(vertex 150),0,1
ID,last_stop,next.stop,options.stop,tick
153,(vertex 150),(vertex 125),[(vertex 125) (vertex 30)],2
152,(vertex 150),(vertex 125),[(vertex 125) (vertex 30)],2
154,(vertex 150),(vertex 125),[(vertex 125) (vertex 30)],2
ID,last_stop,next.stop,options.stop,tick
154,(vertex 125),(vertex 12),[(vertex 12)],3
153,(vertex 125),(vertex 12),[(vertex 12)],3
152,(vertex 125),(vertex 12),[(vertex 12)],3
ID,last_stop,next.stop,options.stop,tick
153,(vertex 12),(vertex 78),[(vertex 125) (vertex 78)],4
152,(vertex 12),(vertex 125),[(vertex 78) (vertex 125)],4
154,(vertex 12),(vertex 78),[(vertex 125) (vertex 78)],4
ID,last_stop,next.stop,options.stop,tick
153,(vertex 78),(vertex 17),[(vertex 12) (vertex 17)],5
154,(vertex 78),(vertex 17),[(vertex 17) (vertex 12)],5
152,(vertex 125),(vertex 150),[(vertex 150)],5
ID,last_stop,next.stop,options.stop,tick
154,(vertex 17),(vertex 78),[(vertex 145) (vertex 78)],6
153,(vertex 17),(vertex 78),[(vertex 78) (vertex 145)],6
152,(vertex 150),(vertex 30),[(vertex 30) (vertex 125)],6
ID,last_stop,next.stop,options.stop,tick
154,(vertex 78),(vertex 17),[(vertex 12) (vertex 17)],7
152,(vertex 30),(vertex 150),[(vertex 30) (vertex 125)],7
153,(vertex 78),(vertex 17),[(vertex 12) (vertex 17)],7
ID,last_stop,next.stop,options.stop,tick
154,(vertex 17),(vertex 78),[(vertex 78) (vertex 145)],8
152,(vertex 150),(vertex 125),[(vertex 30) (vertex 125)],8
153,(vertex 17),(vertex 145),[(vertex 145) (vertex 78)],8
ID,last_stop,next.stop,options.stop,tick
153,(vertex 145),(vertex 17),[(vertex 17) (vertex 33)],9
154,(vertex 78),(vertex 12),[(vertex 17) (vertex 12)],9
152,(vertex 125),(vertex 12),[(vertex 12)],9
ID,last_stop,next.stop,options.stop,tick
153,(vertex 17),(vertex 145),[(vertex 145) (vertex 78)],10
152,(vertex 12),(vertex 78),[(vertex 78) (vertex 125)],10
154,(vertex 12),(vertex 78),[(vertex 78) (vertex 125)],10
ID,last_stop,next.stop,options.stop,tick
153,(vertex 145),(vertex 17),[(vertex 33) (vertex 17)],11
152,(vertex 78),(vertex 17),[(vertex 17) (vertex 12)],11
154,(vertex 78),(vertex 17),[(vertex 12) (vertex 17)],11
ID,last_stop,next.stop,options.stop,tick
154,(vertex 17),(vertex 145),[(vertex 145) (vertex 78)],12
153,(vertex 17),(vertex 78),[(vertex 78) (vertex 145)],12
152,(vertex 17),(vertex 78),[(vertex 78) (vertex 145)],12
ID,last_stop,next.stop,options.stop,tick
152,(vertex 78),(vertex 17),[(vertex 12) (vertex 17)],13
154,(vertex 145),(vertex 17),[(vertex 33) (vertex 17)],13
153,(vertex 78),(vertex 17),[(vertex 17) (vertex 12)],13
ID,last_stop,next.stop,options.stop,tick
152,(vertex 17),(vertex 145),[(vertex 78) (vertex 145)],14
154,(vertex 17),(vertex 78),[(vertex 78) (vertex 145)],14
153,(vertex 17),(vertex 78),[(vertex 78) (vertex 145)],14
ID,last_stop,next.stop,options.stop,tick
153,(vertex 78),(vertex 17),[(vertex 12) (vertex 17)],15
154,(vertex 78),(vertex 12),[(vertex 17) (vertex 12)],15
152,(vertex 145),(vertex 33),[(vertex 33) (vertex 17)],15
ID,last_stop,next.stop,options.stop,tick
154,(vertex 12),(vertex 125),[(vertex 125) (vertex 78)],16
152,(vertex 33),(vertex 145),[(vertex 46) (vertex 145)],16
153,(vertex 17),(vertex 78),[(vertex 145) (vertex 78)],16
ID,last_stop,next.stop,options.stop,tick
154,(vertex 125),(vertex 150),[(vertex 150)],17
152,(vertex 145),(vertex 17),[(vertex 17) (vertex 33)],17
153,(vertex 78),(vertex 17),[(vertex 17) (vertex 12)],17
ID,last_stop,next.stop,options.stop,tick
152,(vertex 17),(vertex 145),[(vertex 78) (vertex 145)],18
