objectid;origen_ruta_troncal;nombre_ruta_troncal;tipo_bus_ruta_troncal;destino_ruta_troncal;longitud_ruta_troncal;tipo_ruta_troncal;globalid;st_lengthshape
59;Portal Sur;G45;ARTICULADO;San Mateo;944.953.604;TRONCAL;{1AB22BF2-EAAC-4464-B428-284797BF7B6A};944.953.604.264.371
47;Portal 80;G22;BIARTICULADO;Portal Sur;2.343.193.307;TRONCAL;{B0B5BC7B-554C-4184-8E6F-424063B2C941};234.319.330.689.487
44;Portal Sur;D22;BIARTICULADO;Portal 80;2.375.628.905;TRONCAL;{334B39FC-91E8-419B-91D9-7BFC3982D45D};237.562.890.499.349
9;Portal 80;6;ARTICULADO;Universidades;2.759.027.477;TRONCAL;{601363F2-F32E-43B5-BB63-E455216C2F0A};275.902.747.728.349
6;Portal 80;B55;ARTICULADO;Heroes;78.671.405;TRONCAL;{C975E927-A7D0-4DB6-96CE-C7FCCBDA2F95};786.714.050.118.811
3;Portal Eldorado;B23;ARTICULADO;Alcala;2.236.327.465;TRONCAL;{DE2A3549-DF9E-47E7-A58C-63356E40CF5D};223.632.746.535.944
1;Toberin;A74;ARTICULADO;Calle 72;10.173.328;TRONCAL;{4282929C-89D0-4C90-BB66-6F62BE0F4B43};101.733.280.008.991
100;Portal Norte;H72;ARTICULADO;Portal Usme;295.443.607;TRONCAL;{F8AB4C55-D830-43C6-B0BE-5750A48C493C};295.443.606.986.867
64;Clínica El Bosque ;M82;DUAL;Portal 20 de Julio;1.920.504.667;DUAL;{F7707050-6770-4B90-9130-704EF05B6AC3};192.050.466.671.666
99;Portal Usme;B75;ARTICULADO;Portal Norte;2.868.000.173;TRONCAL;{0D33D2E0-2558-4961-A09D-6D42C0878ED1};286.800.017.284.655
98;Universidades;D24;ARTICULADO;Portal 80;1.519.975.722;TRONCAL;{9860EB82-0CBF-45FF-A60E-477ECCC1E709};151.997.572.234.624
97;San Mateo;K43;BIARTICULADO;Portal Eldorado;2.470.801.874;TRONCAL;{08647A5C-2910-4E48-8485-7BFCF3F48DAF};247.080.187.421.219
94;San Mateo;E44;ARTICULADO;Simon Bolivar;1.951.187.592;TRONCAL;{83A9FF9D-D1B1-469E-9E6C-9593B2F678DA};195.118.759.184.256
96;Portal Eldorado;G43;BIARTICULADO;San Mateo;2.452.352.876;TRONCAL;{3C537091-9EE0-456D-9056-ACB20976F2E3};245.235.287.639.973
95;Las Aguas;F23;BIARTICULADO;Portal Americas;1.461.935.618;TRONCAL;{8A032278-51C7-4B04-9B5D-927EE7BF2C60};146.193.561.770.825
93;Simon Bolivar;G44;ARTICULADO;San Mateo;1.932.208.135;TRONCAL;{7E321AF3-6EFA-4C7C-9E5A-5EC51506F645};193.220.813.491.014
92;NQS Calle 75;F32;ARTICULADO;Portal Americas;1.987.214.253;TRONCAL;{11974F51-F47F-4BE8-A936-C2FB09164238};198.721.425.331.097
91;Portal 80;F62;ARTICULADO;Portal Americas;2.793.118.837;TRONCAL;{D34E0FC6-7C21-4C38-8461-8CA5CCBBAE10};279.311.883.657.731
83;Portal Norte;J74-2;ARTICULADO;Universidades;1.780.927.546;TRONCAL;{DF19F1F8-1A29-41B8-8CAC-17F7364661E4};178.092.754.644.145
90;Portal 80;H20;ARTICULADO;Portal Usme;2.627.051.062;TRONCAL;{047A0985-D938-42E2-BA48-54C353709734};262.705.106.244.964
82;Universidades;B74-2;ARTICULADO;Portal Norte;1.813.721.471;TRONCAL;{5FF42310-D7F0-4193-BB10-870762D89087};18.137.214.707.654
89;Universidades;C73;ARTICULADO;Portal Suba;2.362.547.842;TRONCAL;{D5ED66A6-D089-4AA9-B464-7021DD8D889E};236.254.784.202.053
81;Portal Norte;C50;ARTICULADO;Portal Suba;2.153.676.297;TRONCAL;{E6055CF8-DBA6-4919-9C40-C7E9D71BD836};215.367.629.690.485
88;Portal Suba;F29;BIARTICULADO;Portal Americas;3.173.515.237;TRONCAL;{A7F243CF-3097-4AC4-8ADD-1FDA0220BB03};317.351.523.724.142
60;Puente de Guadua ;M81;DUAL;Museo Nacional;1.674.286.316;DUAL;{F3C58823-5D32-4667-8F06-421126FC1333};167.428.631.607.687
87;Portal Americas;C29;BIARTICULADO;Portal Suba;3.303.897.468;TRONCAL;{ABEF9E4A-CFB3-461F-8963-D112D8C4F44D};33.038.974.683.675
86;Portal Suba;F19;ARTICULADO;Banderas;2.729.544.205;TRONCAL;{EB35BDF7-F3A3-46DA-B13D-597DFE4086F7};272.954.420.497.092
75;San Mateo;K42;BIARTICULADO;Corferias;1.806.825.881;TRONCAL;{6440888D-5095-4454-9B50-500F44DCBDCD};180.682.588.147.568
85;Banderas;C19;ARTICULADO;Portal Suba;2.876.428.501;TRONCAL;{A2C8A133-B0E2-4E82-BC4A-7EF4CB53528A};287.642.850.053.094
74;Corferias;G42;BIARTICULADO;San Mateo;1.806.030.117;TRONCAL;{C909EC89-275B-4ED9-A3D2-8235D305EDC6};18.060.301.174.049
84;Portal Usme;C17;ARTICULADO;Portal Suba;3.069.929.733;TRONCAL;{02EC12F2-ADF3-49B4-9594-5A20F64A4CD9};306.992.973.305.935
80;Alcala;K23;ARTICULADO;Portal Eldorado;2.267.676.687;TRONCAL;{2429F306-9381-4DBF-8452-DC6774090E61};226.767.668.670.963
79;Terminal;K16;BIARTICULADO;Portal Eldorado;2.633.649.559;TRONCAL;{8AD64713-A624-42E1-8912-4447218F8A87};263.364.955.946.551
78;Terminal;8;ARTICULADO;Guatoque - Veraguas;4.345.681.472;TRONCAL;{3D37C343-5C2E-442E-AE41-3C90DFE536F8};434.568.147.210.737
77;Terminal;G11;ARTICULADO;Portal Sur;3.037.404.472;TRONCAL;{3C4862FE-B6DD-432D-B385-CBF3CD71B8BF};30.374.044.716.291
76;Portal 20 de Julio;L18;BIARTICULADO;Terminal;2.551.527.436;TRONCAL;{03BA232C-46A2-463F-BAC4-3954D542C627};255.152.743.615.553
73;Portal Norte;H75;ARTICULADO;Portal Usme;2.854.872.166;TRONCAL;{784217C0-FA8F-4721-8BBB-2843FA275026};285.487.216.608.076
67;Museo Nacional;C84;DUAL;ETB Tibabuyes;1.983.143.219;DUAL;{747C9E12-BD41-4389-864B-C28AD0597F0D};198.314.321.877.887
72;Portal Norte;H51;ARTICULADO;Portal Usme;2.854.872.166;TRONCAL;{BC9589EF-40BA-4540-9F3C-6EE6B5AE2C61};285.487.216.608.076
66;Museo Nacional;D81;DUAL;Puente de Guadua ;1.684.489.245;DUAL;{F1A662C3-57B7-41B5-A4F6-48D5EDBFAF57};168.448.924.453.391
71;Portal Suba;H17;ARTICULADO;Portal Usme;3.007.447.463;TRONCAL;{E21C1E09-763C-4199-8F63-CDE167BBA831};300.744.746.311.375
70;Heroes;4;ARTICULADO;Portal Sur;3.858.689.663;TRONCAL;{A9788925-9906-4D1D-A6E8-C132A470429B};385.868.966.270.109
69;Portal Tunal;C15;ARTICULADO;Portal Suba;285.950.413;TRONCAL;{253DFD60-2CDE-4877-852A-06379B0BABC7};285.950.412.999.013
65;Clínica El Bosque ;L82;DUAL;Portal 20 de Julio;1.889.826.433;DUAL;{9940618D-BF0D-45A8-8338-A44C4EE68495};188.982.643.254.236
68;Plaza de la Democracia;3;ARTICULADO;Portal Usme;3.012.391.883;TRONCAL;{E35EA669-283D-45DB-9472-335BD12502E0};301.239.188.294.841
63;Hacienda Santa Bárbara ;K86;DUAL;Aeropuerto Eldorado;2.470.301.532;DUAL;{E8D70EB7-1D1C-46A0-8333-222AB69BBC0C};247.030.153.194.342
51;Portal Eldorado;B16;BIARTICULADO;Terminal;2.625.567.909;TRONCAL;{30320DBC-4F2A-4DC9-9C9F-10845591A94D};26.255.679.093.397
62;Aeropuerto Eldorado;M86;DUAL;Hacienda Santa Bárbara ;2.512.613.987;DUAL;{FC42FDC8-0AC2-402F-9A96-3B30E6A7497A};251.261.398.747.745
61;ETB Tibabuyes;M84;DUAL;Museo Nacional;192.320.448;DUAL;{DBFE8ABA-9D41-4282-8C06-B73A458697F4};192.320.447.993.613
58;Portal Suba;7;ARTICULADO;Ricaurte;3.691.159.242;TRONCAL;{84588657-493B-4579-B71E-814F4EBFF57A};369.115.924.207.034
57;Portal Suba;J73;ARTICULADO;Universidades;2.301.560.107;TRONCAL;{F77FED02-415E-415A-B36B-8ADA13D35446};230.156.010.669.221
50;Museo Nacional;G47;ARTICULADO;Portal Sur;1.339.560.982;TRONCAL;{0DED1569-48B8-4828-A77C-D307383FFE0E};133.956.098.170.612
56;Portal Norte;J70;ARTICULADO;Las Aguas;2.172.597.872;TRONCAL;{71066DC1-CCC7-44A8-A557-260D17516C19};217.259.787.166.418
55;Museo Nacional;F51;ARTICULADO;Portal Americas;1.505.872.511;TRONCAL;{10DCEB31-F1C1-4237-87E1-6BA64B63EF2D};150.587.251.071.675
54;Portal Norte;F28;ARTICULADO;Portal Americas;2.897.690.845;TRONCAL;{EF71E65F-CA9F-40F6-AF82-FDBD72F4718A};289.769.084.491.282
49;Flores;G52;ARTICULADO;Portal Sur;2.013.916.593;TRONCAL;{412B5034-CE46-4F7F-8367-FC82A7837992};201.391.659.343.509
53;Portal Norte;F14;ARTICULADO;Portal Americas;3.033.099.203;TRONCAL;{938C1464-9431-4057-B55E-14DFCBF7D43C};30.330.992.025.308
45;Portal Sur;A52;ARTICULADO;Flores;2.080.039.783;TRONCAL;{DFB1EA46-2116-45B2-8546-FF35A069F749};208.003.978.263.762
52;Portal Américas;5;ARTICULADO;Calle 22;3.027.799.531;TRONCAL;{ADC63726-3BEE-40E7-8CE7-E28E72720674};302.779.953.118.238
48;Portal Norte;G12;ARTICULADO;Portal Sur;2.703.668.352;TRONCAL;{3F25B3A9-72B3-4D22-84A1-A9191B7EED28};270.366.835.247.855
46;Portal Suba;G30;ARTICULADO;Portal Sur;2.675.555.706;TRONCAL;{12B796E1-6A4D-4173-AFD1-8588957AD5D5};267.555.570.552.199
41;Portal Sur;B12;ARTICULADO;Portal Norte;2.700.970.638;TRONCAL;{89169EC9-CF74-49EE-B077-D46525FFC62D};27.009.706.380.951
40;Museo Nacional;H83;DUAL;Usme Porvenir II;1.530.545.913;DUAL;{024220FB-D108-4DDB-8345-1EBD6B6EE3F5};153.054.591.303.988
43;Portal Sur;C30;ARTICULADO;Portal Suba;2.737.307.383;TRONCAL;{43CB185A-46BC-4193-AF60-0C68FF0B2A3C};273.730.738.332.681
23;Usme Porvenir II;M83;DUAL;Museo Nacional;1.431.271.573;DUAL;{484EF496-78B1-40D3-916F-58A50102F111};143.127.157.269.988
42;Portal Sur;B11;ARTICULADO;Terminal;3.075.493.199;TRONCAL;{E163E688-8789-4910-9BAD-57BB3CE1439C};307.549.319.913.813
39;Museo Nacional;2;ARTICULADO;Portal 20 de Julio;1.412.588.581;TRONCAL;{18EAB8AB-6BB6-4A6E-8947-D47C4FE2DC9B};141.258.858.067.683
38;Toberin;H73;ARTICULADO;Portal Tunal;2.637.929.725;TRONCAL;{0DCCF5BA-C01F-4E95-B2C8-B4A9120183B9};263.792.972.516.659
22;Portal 20 de Julio;K10;BIARTICULADO;Portal Eldorado;1.853.493.168;TRONCAL;{56C45758-93E1-4A20-828D-512F99BE87D9};185.349.316.756.462
37;Portal Eldorado;H54;BIARTICULADO;Portal Usme;2.207.864.411;TRONCAL;{BED2BCEA-B005-4275-AE67-ACC872578FA4};220.786.441.143.291
21;Portal Sur;M47;ARTICULADO;Museo Nacional;1.392.841.213;TRONCAL;{AB59391A-54C5-46B2-9FF3-7834F96E7990};139.284.121.251.208
36;Portal Norte;H27;BIARTICULADO;Portal Tunal;2.637.929.725;TRONCAL;{297305BD-A147-4671-B209-5A9C286BB708};263.792.972.516.659
35;Portal Eldorado;L10;BIARTICULADO;Portal 20 de Julio;1.750.124.687;TRONCAL;{516BFF10-7875-48BB-AD5D-07FA438B8F77};175.012.468.729.373
34;Portal 80;H21;ARTICULADO;Portal Tunal;2.410.108.622;TRONCAL;{250F75D5-13D6-4A40-BDF6-08AF4D9754EF};241.010.862.153.547
20;Terminal;B18;BIARTICULADO;Portal 20 de Julio;2.545.505.373;TRONCAL;{2C28A071-CA46-4045-8BE8-98E02B5F07D8};254.550.537.340.642
33;Portal Norte;H13;ARTICULADO;Portal Tunal;2.637.929.725;TRONCAL;{2C64B3FB-ED4E-45E2-B215-038FA28A2EAE};263.792.972.516.659
17;Portal Norte;J74-1;ARTICULADO;Las Aguas;1.910.321.509;TRONCAL;{B1C008D6-1902-47B9-9EA4-FA5E2B89306A};191.032.150.874.859
32;Portal Suba;H15;ARTICULADO;Portal Tunal;2.790.505.022;TRONCAL;{C22CB89D-D2F0-456F-B17C-580897313EA7};279.050.502.219.958
16;Portal 80;J24;ARTICULADO;Universidades;1.519.975.722;TRONCAL;{4C0E944B-6F5A-4931-AC8F-F2088FEFF6B3};151.997.572.234.624
31;Portal Usme;K54;BIARTICULADO;Portal Eldorado;235.431.462;TRONCAL;{34782BAC-2A8B-407A-B9D8-1FF9D9110A72};235.431.462.002.507
30;Portal Usme;D51;ARTICULADO;Portal 80;2.649.406.792;TRONCAL;{C07F6677-5D5A-4310-9F6F-04ACE0BB6BF7};264.940.679.181.108
15;Portal Americas;J23;BIARTICULADO;Las Aguas;1.468.495.342;TRONCAL;{6A7C980C-C36F-4CF5-B7D5-919E4149A6C4};146.849.534.207.072
29;Portal Tunal;D21;ARTICULADO;Portal 80;2.424.119.416;TRONCAL;{319158D7-62E5-4E38-B355-347F2F631411};242.411.941.580.473
14;Portal Americas;E32;ARTICULADO;NQS Calle 75;1.916.256.487;TRONCAL;{41935EFD-D3F1-461A-BC48-A30DA1231A4D};191.625.648.666.371
